"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"SEM CORRIDA ESSA SEMANA","Other","","","","2025-07-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGENERATIVO 30min","Bike","Dia de girar leve e relaxar! Mantenha a baixa intensidade.","0.5","","2025-07-02","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","13363.6796875","85","122","157.628","","0.509444415569305","7.28599977493286","","71","","111","120","","","0.519031128755267","13.54","14","17","0","0","0","","","","","","24","6","0","0","0","0","","","","","",""
"solto na agua","Swim","","0.5","","2025-07-03","","1750","","",""," *03/07/2025 SAAB SPORTS: e ai Fe? se sentindo bem?? nao força ainda e descansa ta? esses treinos é so para limpar a musculatura vai fazer uma massagem ta?* *03/07/2025 Felipe da Cruz Rodolpho: nao estou forcando. Foi super tranquilo.* *03/07/2025 SAAB SPORTS: otimo!*","0.429669445885552","1.13049095607235","","23","","111","150","","","0.282840166880631","0.97","22","2","1","0","0","1","0","","","","","","","","","","","","","","1","5"
"REGENERATIVO 30min","Bike","Dia de girar leve e relaxar! Mantenha a baixa intensidade.","0.5","","2025-07-04","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","14496.830078125","81","114","201.731","","0.685833334922791","5.87099981307983","","71","","97","108","","","0.488367812577002","16.26","41","0","0","0","0","","","","","","39","2","0","0","0","0","","","","","",""
"OFF","Day Off","","","","2025-07-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2025-07-05","","3550","","","","","0.886891111797757","1.10972178805877","","22","","130","165","","","0.27796848395296","1.9","13","12","3","13","6","4","2","","","","","","","","","","","","","","2","3"
"OFF","Day Off","","","","2025-07-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"viagem Vietna 7 ate 19","Day Off","","","","2025-07-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zwift - Tempus Fugit in Watopia","Bike","","","","2025-07-07","","20243.759765625","110","158","266.485","","0.670277774333954","8.38899993896484","","77","","112","123","","","0.659722582243998","28.68","13","27","0","0","0","","","","","","3","35","2","0","0","0","","","","","",""
"40min Recovery","Bike","Regenerativo","0.666666666666667","","2025-07-08","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recovery Run","Run","Aerobico leve/ Regenerativo (z2)","0.75","","2025-07-09","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","8146.33984375","","","","","0.759149730205536","2.98099994659424","","162","","134","143","","","0.745182934847238","46.38","10","36","0","0","0","","","","","","","","","","","","","","","","1","3"
"10x50","Swim","300 aquec. 10x 50 (2 forte 2 facil) com 20seg 200 solto","0.75","","2025-07-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
