"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Corrida contínua","Run","","1.49722222222222","12000","2025-08-05","","11310.169921875","","","","","1.26592028141022","2.48200011253357","","155","","174","182","","","0.925321101877854","120.77","1","1","2","4","1","9","57","","","","","","","","","","","","","","","5"
"Foco em z4 (Moderado firme)","Run","","1.47583333333333","14000","2025-08-09","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","14008.23046875","","",""," *08/09/2025 Joyce Barros Lyra: Temp 28°C Umidade 75% Horário de saída: 06:30 Pré-treino : uma bananada Preparação intra-treino : 2 CP repor salt + z2 40g carbo + 100mg cafeína + 300 ml água  . Outra garrafa com 350 ml água pura Vento forte contra a partir do 4° km , qdo cheguei na praia (av litoranea) . Não consegui aumentar o ritmo. Qdo fiz a virada com 7,5km , aí melhorou muito o ritmo e menor sensação de esforço com vento a favor . Ingestão de aprox 150 ml da mistura com carbo no km 6. Água 100 ml km 8 Mais 100 ml no km 10 e o restante ao término. Restante da água no término Cada garrafinha de silicone comporta volume 350ml .* *08/12/2025 SAAB SPORTS: comentarios maravilhoso!! alem da alimentaçao, me fala a PSE ta? importante para mim nesse moderado 6:42 aquecimento otimo em 7:20*","1.610555768013","2.41599988937378","","153","","168","181","","","0.778977079847548","109.6","1","3","8","10","7","38","30","","","","","","","","","","","","","","6","3"
"Aeróbico Leve 40min","Run","Aeróbico confortável/ Leve","0.666666666666667","","2025-08-12","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","6010.259765625","","",""," *08/12/2025 Joyce Barros Lyra: Horário : 05:30 Temp: 25°C Umidade: 86% Chuvinha leve Bom dia ! Uma banana antes de sair de casa . Corrida leve . “Pace fofoca”. 2 km pareceram uma eternidade 😂. Mas depois comecei a curtir . Precisei tirar a música , pra diminuir a vontade de querer acelerar . 250 ml de água (pura) de 3 a 6km . Último km (após 40 min do planejado) fiz uma caminhada rápida só pra registrar a frequência cardíaca no desaquecimento e vcs terem essa referência.* *08/12/2025 SAAB SPORTS: Raquel aqui: gostei que não foi em jejum e que levou água! Nesse. treino não precisaria de nada mesmo :)* *08/12/2025 SAAB SPORTS: oiiii Joyce, Talita aqui obrigada pelo Feedback tirei a parte da caminhada e o pace por 40 min ficou a 7:40. FC de 150 apos na caminhada, FC 123 O pace esta mot leve aqui ne? so para confirmar, vou deixar mais na casa dos 6:00 altos nesses aerobicos ok? acha que fica confortável certo? esse pace da parte da corrida, de 0 a 10, qual a Percepção de esforço?* *08/12/2025 SAAB SPORTS: estranho que tinha ajustado a zona com um limiar melhor, mas nao salvou.. Agora coloquei LIMIAR de 5:30 acho que o protocolo PZI vai ficar melhor para vc vamos ver isso no proximo treino ta?* *08/15/2025 Joyce Barros Lyra: O treino de ontem já foi com esse ajuste de limiar 5:30 ?*","0.822918653488159","2.02900004386902","","138","","145","174","","","0.671666252727781","40.92","11","5","23","10","0","0","0","","","","","","","","","","","","","","","5"
"Race Pace 1.5k leve/1k Intenso","Run","10k sendo 1.5k aeróbico leve 1k em race pace","1.1","10000","2025-08-14","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","10013.599609375","","",""," *08/14/2025 Joyce Barros Lyra: Boa noite Horário de saída : 19:00 Temp: 27°C Umidade : 80% Não consegui acordar de manhã . Não tive um sono reparador . Levei um gel sudract sem cafeína pra não interferir no meu sono e um sachê de liquidz diluído em 300 ml de água . Em alguns momentos me perdi no treino e acabei correndo mais rápido qdo era pra estar correndo ou mais lenta do que deveria . Mas depois percebi e me situei . Usei o gel a partir de 5km . O começo é sempre arrastado , me sinto pesada . Mas depois parece que vou entrando no clima e começo a curtir e entro numa curva ascendente . Check out my run on Stryd! https://www.stryd.com/powercenter/run/6348757059141632* *08/15/2025 SAAB SPORTS: ah, normal voce se perder um pouco assim, mas é muito importante voce ajustar a sua percepção de esforço e principalmente saber se a intensidade moderada com esse pace esta em coerência ta ? ficou muito bom os 1km no inteso 6:03 depois o fraco foi um pouco forte. ( 6:40) depois 6:06 depois caiu pra casa dos 7:00 dois de 1km e no ultimo foi para o 7:17 veja so para nao queimar largada no inicio ta? isso faz vc ficar mais cansada que o normal e depois acaba ficando sem combustível no final! 213 de potencia no inicio.. e 188 no leve o leve teria que ser mais leve ta? no 6:17 do final foi ate para 200.. caindo quase 15w* *08/15/2025 Joyce Barros Lyra: Oieee Obrigada pelos feedbacks Deu certo o link do stryd por aqui ? “no 6:17 do final foi ate para 200.. caindo quase 15w” significa que a corrida estava mais eficiente , certo ?*","1.17741811275482","2.36199998855591","","150","","167","182","","","0.779728143250059","79.61","2","3","2","5","16","23","19","","","","","","","","","","","","","","6","3"
"Race pace 1/2","Run","20min aquecimento leve 45min médio, intenso (provável ritmo para 1/2 maratona) 10min trote leve","1.25","","2025-08-16","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","12572.1298828125","","",""," *08/16/2025 Joyce Barros Lyra: Bom dia Horário de saída : 05:45 Temp: 27°C Umidade: 83% Obs : desativei o autolap do garmin Pré-treino : 1/2 banana Beta-alanina Z2 Pitaya Me sentindo bem disposta e motivada no início do treino . Me empolguei , meu motor estava a propulsão 😂, mas segurei o ritmo pra não queimar a largada . Com 20min , Z2 double expresso, consegui sustentar o ritmo < 6:30 a maior parte do tempo , em alguns momentos cheguei baixo de 6. Na volta , na subida da ladeira no começo da praia , por volta de 8km mantive firme . Por volta de 8,5km , com 60 min , após a ladeira consumi o segundo double expresso . Me enrolei um pouco na hora de abrir o Gel e a respiração dessincronizou um pouco , mas logo recuperei . Da próxima vez vou dar um pic no sachê pra facilitar a abertura . Estendi um pouco a mais o tempo do que era previsto para fechar a rota até minha casa e , acima de tudo , pq estava me sentindo bem disposta e aproveitei o up da cafeína do 2° double expresso . Não tive desconforto gástrico . Tolerei bem a cafeína , sem palpitações . Ao término do treino coloquei as panturrilhas na piscina da frozen 🥶. Obs2: ontem fiz fortalecimento de MMII no pilates . Beijos Bom fds* *08/16/2025 Joyce Barros Lyra: Check out my run on Stryd! https://www.stryd.com/powercenter/run/6662169848872960* *08/16/2025 Joyce Barros Lyra: Perda de suor estimada : 508 ml 300 ml água pura durante a corrida 300 ml com liquidz ao término* *08/18/2025 SAAB SPORTS: oiiii Joy, talita aqui!! que bom que esta se sentindo bem e animada mas realmente, cuidado com essa largada mto forte para nao queimar! mas ficou mais ajustado aqui pelo que vi 20min: 184NP - 7:00. FC 156 45min um pouco forte no começo mas a media deu bom e mais forte que o aquecimento, isso que importa acha que a PSE foi moderado? 6:27 -  201NP FC um pouco alta eu achei para moderado. FC 176 vamos companhando isso. como vc ficou depois no domingo? bem? quando ao fortalecimento, pede para o seu personal segui o que colocamos aqui para vc para testar.. o que acha?* *08/18/2025 Joyce Barros Lyra: Oi Talita Então , acredito que a FC subiu um pouco mais pq estava sob efeito de 200 mg de cafeína que ingeri com 20 min . Percepção de esforço moderado. Tá bem , vou seguir o roteiro do o personal .* *08/18/2025 Joyce Barros Lyra: Com 60 min ingeri outro double expresso (+ 200 mg cafeína )*","1.41084504127502","2.47499990463257","","155","","170","183","","","0.818428292038163","105.63","1","2","3","9","4","23","41","","","","","","","","","","","","","","6",""
"Longo Progressivo","Run","Progressivo: 25 min Z2 (Aeróbico Leve) 20 min Z3 (Aeróbico Moderado) 15 min Z4 (Aeróbico Intenso) 10 min leve em Z2 (Aeróbico Leve)","0.916666666666667","","2025-08-19","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","10003.0302734375","","",""," *08/19/2025 Joyce Barros Lyra: Bom dia Temp: 26°C Umidade: 85% Rajadas de vento Pré- treino 1/2 banana Supercoffee Beta-alanina Segui o treino conforme prescrito , progressivamente. Testei o hidrogel da dobro com 5km imediatamente antes de entrar em Z4. Num primeiro momento estranhei a consistência gelatinosa , depois achei interessante que é mais difícil de se engasgar . Sabor mais ou menos . Acho que ainda prefiro o double espresso Z2.* *08/19/2025 Joyce Barros Lyra: Check out my run on Stryd! https://www.stryd.com/powercenter/run/6585069045448704* *08/19/2025 Joyce Barros Lyra: Sobre a percepção de esforço  . Z2- 2 Z3- 3-4 Z4- 5-6* *08/19/2025 Joyce Barros Lyra: Ainda estou melhorando essa percepção . Mas foi bom o treino Fiquei satisfeita* *08/19/2025 Joyce Barros Lyra: Obs : o gel só tinha 20g de carbo e foi sem cafeína* *08/20/2025 SAAB SPORTS: Talita aqui! achei otima a PSE, era exatamente que eu queria que tivesse como pratica esse treino! Sabe que esse treino, é uma das formas mais legais, fazer sem olhar o relógio, por feeling rs mas ficou perfeito adorei o z4 a 5:49 dava para manter mais tempo nesse pace? FC ficou em 171 aqui e PW 230 como anotação daqui uns dias vamos trabalhar mais essa zona para que vc comece a acostumar com a z4, a zona fora do confortável!* *08/20/2025 Joyce Barros Lyra: Oi Talita Sim Acho que conseguiria manter mais uns 5 min a 5:49. Da próxima vez vou fazer o treino olhando o mínimo possível o relógio . Obrigada por me acompanhar nessa jornada . 🙏🏻* *08/20/2025 SAAB SPORTS: otimo, bom saber Jo!! imagine!! uma honra te acompanhar nisso!! :)*","1.11781418323517","2.48600006103516","","154","","160","179","","","0.820284565169934","83.55","4","2","12","15","15","14","5","","","","","","","","","","","","","","",""
"fartlek 4x 2'/3'","Run","15min aquec 25min 2min intenso 3min z2 10min trote leve","0.75","","2025-08-22","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5x 2km Race Pace z4/5","Run","2km aquec. 5x 2km race pace (menos 5-10seg) com 2min 2km leve","1.61527777777778","14000","2025-08-23","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","14055.009765625","","",""," *08/23/2025 Joyce Barros Lyra: Bom dia Temp : 27°C Umidade: 78% Pré-treino : beta alanina 2g + 1 banana Obs: não tinha pão 😂 No começo acho que o relógio deu uma descompensada . Marcou um pace de 9 , qdo eu estava certamente aquecendo a 6:50. Então desconsidere . No primeiro race pace cheguei a 5 de ritmo . Mas tive a sensação realmente de dar uma queimada da largada. Sinto que meu desempenho é melhor depois dos 7km . Dessa vez não tomei o gel com cafeína antes de começar . E tb senti um pouco a resistência do vento até 7,5km . Melhorou depois com o vento a favor . Subi o ladeirão do começo da praia com mais ou menos 1hora de treino e foi satisfatório sustentar o pace de 6. Double expresso Z2 com 30 min de treino e xtratus 40g carbo + 300mg Na+ com 60 min no lugar do gel de pitaya . Gostei bastante do sabor e consistência . Esperava conseguir baixar um pouco mais meu pace . Mas no fim consegui manter o ritmo médio previsto . A próxima vai ser melhor. O ritmo de 6:50 é um ritmo que consigo sustentar bem . Eu conseguiria manter mais alguns km além dos 14 nesse ritmo . Tb me sinto bem mais pesada no ciclo menstrual (hoje D3/5). Felizmente na meia maratona já vai ter passado o ciclo 🙌🏻. Pós treino Jungle . Café da manhã Batata doce Ovos Salada de frutas Café* *08/23/2025 Joyce Barros Lyra: Obs : O ladeirao que subi empolgada foi retornando. . É no começo da praia mas já na volta pra casa  .* *08/23/2025 Joyce Barros Lyra: Check out my run on Stryd! https://www.stryd.com/powercenter/run/6594717278437376* *08/23/2025 Joyce Barros Lyra: Perda de suor estimada : 1348 ml* *08/25/2025 SAAB SPORTS: oiii vamos tomar esse cuidado com o ciclo menstrutal ta Joyce, sempre me avise para deixamos treinos mais leves.. regenerativos pois nessa fase, muitas meulheres tem essa sensação mesmo e nao adianta fazer treinos forte ontem nao conseguimos dar tudo de nós no teste de ergo, vai ate nos mostrar isso, onde vc atinge seu ponto melhor para aquecer e podemos dar mais forte ou nao, com esse exemplo que falou do 7k em subidas, tenta ir mais pela PSE e n ao em manter o pace! nao vai conseguir mesmo ai vamos olhar mais a potencia e a PSE mas resumindo, gostei da variação de pace, o 2km. mais moderados.. o mais leve, podemos tentar um mais leve ainda para vc se recuperar bem ta? dava para se recuperar nesses 2km? como se sentia para começar novamente o 2km moderado? ah, na quinta nos falamos melhor pessoalmente sobre tudo isso bj.. talita* *08/25/2025 Joyce Barros Lyra: Oieee Vou avisar sobre o ciclo então . Já finalizou 🙌🏻 Da pra sinalizar aqui no TP ? Pq no garmin tem uma parte de saúde da mulher  . Sim , conseguia recuperar sim nos intervalos . Animada pra te encontrar na quinta 🙌🏻*","1.59668755531311","2.4449999332428","","153","","165","182","","","0.80834668140791","117.04","3","5","6","8","23","43","8","","","","","","","","","","","","","","5","3"
"OFF","Day Off","","","","2025-08-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Regenerativo 40'","Run","regenerativo","0.666666666666667","","2025-08-26","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","5355.35009765625","170","185","410.828"," *08/27/2025 SAAB SPORTS: e ai?? como se sentiu?*","0.670589208602905","2.21799993515015","","142","","155","169","","","0.959763583670068","61.11","4","5","2","24","6","0","0","","","","1","0","7","32","0","0","","","","","3","5"
