"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"SWIM EXPERIENCE - VIRADA DE LOTE DAS INSCRIÇÕES","Other","VEM AÍ O III SWIM EXPERIENCE ILHABELA! De 5 a 7 de setembro Três dias de imersão total nas águas abertas, com estrutura de ponta, paisagens incríveis e orientação de duas especialistas no assunto: Thais Sant’Ana e Talita Saab. Serão: ✔ Sessões de biomecânica com análise técnica e feedback individual (ingresso vendido separadamente) ✔ Treinos práticos na Praia da Siriúba ✔ Expedição de barco com travessias de até 5K ✔ Uma experiência real de evolução na natação em mar aberto! Vagas limitadas! O dia extra com foco em Biomecânica tem apenas 6 vagas (ingresso à parte). Inscrições via Sympla: https://www.sympla.com.br/evento/iii-swim-experience-ilhabela/3024779 Garanta sua vaga antes da virada de lote dia 01/08 Para pagamento via PIX com desconto da taxa do Sympla, entre em contato com a organização: (15) 99245-0404 — Rosana Realização: @saabsports Organização: @swimhausbr","","","2025-08-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.400","Swim","400 solto 3x 500 braço palmar paraquedas boia 5x100 pé de pato e palmar a2 1 minuto e repete","0.866666666666667","","2025-08-01","","3025","","",""," *01/08/2025 Sarah Lotif: Água estava um gelo, aqui está frio demais, fui testar hoje… até q deu, mas senti frio! Pé de pato tbem testei hoje ficou meio ( largo) vou ter q trocar 🙄  últimos 400m com pé de pato n fiz, estava muito desconfortável, e ameaçando me dar câimbra kkkk mas foi top*","0.876596114635467","0.956672991777356","","28","","112","138","","","0.23484938173741","1.14","","","","","","","","","","","","","","","","","","","","","3","1"
"20min moderado","Run","10min z2/3 leve 20min z4/5 moderado 10min z2/3. leve","0.666666666666667","","2025-08-01","","8209.1103515625","","",""," *02/08/2025 Sarah Lotif: Senti o meu corpo pesado pra fazer esse treino, mas deu bom! Foi brabo manter o pace 20min daquele jeito, acho q foi pq eu nadei primeiro esse dia, e como fiquei sem nadar os outros dias pode ter “me cansado” um pouco não sei…💆🏻‍♀️🤦🏻‍♀️ E olha que sou caveira hein…kkkk e tem mais um detalhe, estou no meu período pré menstrual. Isso me fu…*","0.667266666889191","3.41700005531311","","170","","170","182","","","0.837109548766647","51.27","2","2","11","14","11","0","0","","","","","","","","","","","","","","7","1"
"Longo aerobico (ENDurance)","Bike","Hoje o treino deve ser feito em intensidade leve/moderada. Mantenha esforço constante e varie cadência (80-100rpm)","3","","2025-08-02","","70500","","",""," *03/08/2025 SAAB SPORTS: foi tudo bem?? cade seus comentarios pra mim senhora?* *03/08/2025 Sarah Lotif: Foiii! Aqui, estou comentando em todos, só o de ontem q esqueci 🙏*","3.00072383880615","6.52620313808172","","","","116","136","","","0.592270677782625","119.85","180","0","0","0","0","0","0","","","","","","","","","","","","","","2","1"
"ENDurance","Bike","Treino em rimo aeróbico leve/moderado (Endurance!!!) Cadencia entre 85-100rpm","1.5","","2025-08-03","","33300","","","","","1.50058472156525","6.1642637480351","","","","120","134","","","0.597758245928994","60","90","0","0","0","0","0","0","","","","","","","","","","","","","","2","1"
"Running","Run","10min aquecimento leve 40min (7min intenso (z5/6) 3min leve) 20min aerobico moderado (z4) 5min trote leve","1.25","","2025-08-03","","14806.98046875","","",""," *03/08/2025 Sarah Lotif: Hoje não foi um dos meus melhores treinos de corrida, quebrei nas 4 séries de 7min no final ( n sei pq eu estou sentindo tanto os tiros, talvez eu ainda n esteja prepara não sei…) Vocês vão ter q ter um pouquinho de paciência cmg! Eu gosto sempre de entregar os treinos perfeitos, mas tem dias que parece q não vai! 😭 minha panturrilha deu sinais nas partes mais hards do treino, preferi tirar o pé ( na série de 20 min contínuos eu fiz tudo sub 5, mas n deu pra manter 4’30”.   Pra hoje foi o meu melhor! 🙏* *03/08/2025 Sarah Lotif: Vou ficar nos dias tbem( e sempre 1/2dias antes de vir eu sinto muito o meu corpo, já comentei isso uma vez aqui tbem! 🙏🚀*","1.25116729736328","3.28699994087219","","167","","169","185","","","0.805441877185557","90.42","4","8","15","33","15","0","0","","","","","","","","","","","","","","8","1"
"Day-off","Day Off","","","","2025-08-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1:30h Endurance","Bike","Endurance leve","1.5","","2025-08-05","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","36000","","",""," *05/08/2025 Sarah Lotif: Rodagem tranquila hoje! Foi ótimo!*","1.50169003009796","6.65916387508257","","","","107","130","","","0.596443394150905","59.78","90","0","0","0","0","0","0","","","","","","","","","","","","","","1","1"
"12X100BEST","Swim","800 aquec. 4x 50 (25 tec. 25nd progressivo) com 10seg 6x 100 melhor media com 20seg 100 solto 6x 100 melhor media com 30seg (pull+palmar) 300-600 solto","0.833333333333333","","2025-08-05","","2625","","",""," *05/08/2025 Sarah Lotif: Natação fluiu bem hoje! Fiquei chocada com os meus times sem material hoje nas primeiras  séries de 100. 🙏*","0.812743057145013","0.894988066825776","","30","","152","183","","","0.219806040498059","0.86","","","","","","","","","","","","","","","","","","","","","3","1"
"Z2/3","Run","Aerobico leve/confortável (z2/3)","0.833333333333333","","2025-08-06","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","10486.0400390625","","",""," *06/08/2025 Sarah Lotif: Treino hoje fluiu bem! Única coisa q ainda não está 100% é a minha panturrilha direita! A esquerda já está 100%*","0.834132730960846","3.49200010299683","","175","","168","176","","","0.854088423401148","67.1","3","3","11","33","0","0","0","","","","","","","","","","","","","","3","1"
